name,budget,location,rating,Specialities
All India Institute of Medical Sciences,1500, New Delhi,4.9,"Nephrology, Pediatrics, Urology"
Apollo Hospitals,2000, Chennai,4.8,"Endocrinology, Gastroenterology"
Fortis Healthcare,1800, Mumbai,4.7,"Pediatrics, Nephrology"
Max Super Speciality Hospital,1700, New Delhi,4.6,"Urology, Gastroenterology, Oncology"
Medanta The Medicity,1900, Gurugram,4.8,"Pediatrics, Neurology"
Narayana Health,1600, Bengaluru,4.5,"Cardiology, Urology"
Manipal Hospitals,1500, Bengaluru,4.4,"Nephrology, Orthopedics, Endocrinology"
BLK Super Speciality Hospital,1700, New Delhi,4.6,"Cardiology, Nephrology, Urology"
Kokilaben Dhirubhai Ambani Hospital,2000, Mumbai,4.7,"Urology, Pediatrics, Orthopedics"
Sir H. N. Reliance Foundation Hospital,2100, Mumbai,4.8,"Oncology, Pulmonology, Gastroenterology"
Amrita Hospital,1600, Faridabad,4.5,"Nephrology, Endocrinology, Cardiology"
Amrita Hospital,1500, Kochi,4.4,"Orthopedics, Endocrinology, Nephrology"
Zydus Hospitals,1400, Ahmedabad,4.3,"Pulmonology, Nephrology"
SevenHills Hospital,1300, Mumbai,4.2,"Endocrinology, Urology"
Metro Hospitals & Heart Institute,1200, Noida,4.1,"Urology, Oncology"
KIMS Health,1100, Thiruvananthapuram,4,"Orthopedics, Pulmonology, Nephrology"
MIOT International,1700, Chennai,4.6,"Pulmonology, Pediatrics, Neurology"
Jaslok Hospital & Research Centre,1800, Mumbai,4.5,"Orthopedics, Oncology, Endocrinology"
Dr. L H Hiranandani Hospital,1600, Mumbai,4.4,"Orthopedics, Neurology, Gastroenterology"
King Edward Memorial Hospital,1500, Mumbai,4.3,"Oncology, Urology"
Dr. Prabhakar Kore Hospital,1400, Belgaum,4.2,"Urology, Nephrology, Cardiology"
Indraprastha Apollo Hospital,1900, New Delhi,4.7,"Urology, Orthopedics, Oncology"
Gleneagles Global Hospitals,1800, Chennai,4.6,"Neurology, Nephrology, Pulmonology"
Ruby Hall Clinic,1500, Pune,4.4,"Neurology, Pulmonology, Endocrinology"
Sancheti Institute for Orthopaedics and Rehabilitation,1300, Pune,4.3,"Pediatrics, Orthopedics"
Christian Medical College,1500, Vellore,4.9,"Oncology, Cardiology"
Tata Memorial Hospital,2000, Mumbai,4.8,"Cardiology, Endocrinology, Urology"
Postgraduate Institute of Medical Education and Research,1800, Chandigarh,4.7,"Pediatrics, Cardiology, Nephrology"
Sir Ganga Ram Hospital,1700, New Delhi,4.6,"Pulmonology, Gastroenterology"
Sankara Nethralaya,1600, Chennai,4.5,"Pulmonology, Neurology"
Artemis Hospital,1500, Gurgaon,4.4,"Nephrology, Oncology"
Wockhardt Hospital,1400, Mumbai,4.3,"Orthopedics, Oncology, Nephrology"
Fortis Hospital,1300, Kolkata,4.2,"Neurology, Orthopedics"
MaxCure Hospital,1200, Hyderabad,4.1,"Pediatrics, Endocrinology, Cardiology"
Columbia Asia Referral Hospital,1500, Yeshwanthpur,4.6,"Nephrology, Endocrinology"
Nanavati Super Specialty Hospital,1600, Mumbai,4.7,"Oncology, Pulmonology, Endocrinology"
Max Super Specialty Hospital,1800, Saket,4.9,"Pediatrics, Pulmonology, Nephrology"
Fortis Memorial Research Institute,1900, Gurugram,4.8,"Oncology, Nephrology, Pediatrics"
Kokilaben Dhirubhai Ambani Hospital,2100, Mumbai,4.8,"Orthopedics, Gastroenterology"
Lilavati Hospital and Research Centre,2200, Mumbai,4.7,"Urology, Pediatrics"
Maharaja Yeshwantrao Hospital,1300, Indore,4.2,"Urology, Gastroenterology, Endocrinology"
Amrita Hospital,1400, Kochi,4.5,"Nephrology, Cardiology"
Dharamshila Narayana Superspeciality Hospital,1600, Delhi NCR,4.7,"Cardiology, Nephrology"
Aster CMI Hospital,1800, Bangalore,4.6,"Nephrology, Pulmonology"
Sri Ramachandra Medical Centre,1700, Chennai,4.5,"Cardiology, Pulmonology, Urology"
Dr. Rela Institute & Medical Centre,1900, Chennai,4.7,"Oncology, Gastroenterology, Pulmonology"
